模块,功能点,优先级,用户角色,页面/位置,主要数据,验收口径,当前demo依据
CMS数据初始化,未初始化空状态,P0,平台管理员,CMS新专业建设-产业调研管理,专业ID/初始化状态,未初始化专业进入页面时显示待初始化说明和数据初始化按钮,assets/22-cms-init-empty.png
CMS数据初始化,发起数据初始化,P0,平台管理员,CMS新专业建设-产业调研管理,专业基础信息/培养方向/岗位资料,点击数据初始化后进入初始化中状态并触发初始化任务,src/App.vue
CMS数据初始化,推荐产业链列表,P0,平台管理员,CMS新专业建设-产业调研管理,产业链名称/匹配度/阶段摘要/推荐理由/证据标签,初始化完成后展示推荐产业链列表,assets/23-cms-chain-recommendations.png
CMS数据初始化,选择默认产业链,P0,平台管理员,CMS新专业建设-产业调研管理,产业链ID/专业ID/是否选中,可选择一个默认产业链且刷新后保留选择,assets/24-cms-chain-selected.png
CMS数据初始化,重新初始化,P1,平台管理员,CMS新专业建设-产业调研管理,初始化批次/历史选择,已初始化状态下可重新初始化并保留批次追溯,src/App.vue
岗位画像分析,岗位画像洞察,P0,专业负责人,岗位中心-岗位画像分析,洞察标题/洞察项,进入页面展示3-4条岗位画像洞察,src/mock/job-research.ts
岗位画像分析,KPI汇总,P0,专业负责人,岗位中心-岗位画像分析,岗位数/任务数/能力项数/证书数,页面展示4个核心KPI且数值来自岗位画像明细汇总,assets/05-job-portrait.png
岗位画像分析,搜索岗位,P0,专业负责人,岗位中心-岗位画像分析,关键词/岗位名称/技能/产业环节,输入关键词后列表正确过滤且分页回到第一页,src/App.vue
岗位画像分析,岗位等级筛选,P0,专业负责人,岗位中心-岗位画像分析,岗位等级,按全部/初级/中级/高级筛选岗位列表,src/App.vue
岗位画像分析,岗位卡片列表,P0,专业负责人,岗位中心-岗位画像分析,岗位名称/薪资/需求量/等级/产业环节/能力标签,列表展示岗位卡片且点击可打开详情,assets/05-job-portrait.png
岗位画像分析,岗位画像详情,P0,教研人员,岗位画像详情弹窗,基本信息/能力项/任务/证书/专业/企业样本,详情弹窗字段完整且能关闭,assets/06-job-portrait-detail.png
岗位画像分析,证书与企业详情入口,P2,教研人员,岗位画像详情弹窗,证书ID/企业ID,保留入口或后续扩展说明，不作为一期必验,src/mock/job-research.ts
招聘需求趋势,趋势洞察,P0,专业负责人,岗位中心-招聘需求趋势,趋势判断项,页面展示岗位热度、技能热度、建设建议类洞察,src/App.vue
招聘需求趋势,KPI汇总,P0,专业负责人,岗位中心-招聘需求趋势,近12月岗位需求/高频岗位/平均薪资/企业样本,页面展示4个招聘趋势KPI和变化值,assets/07-job-demand.png
招聘需求趋势,月度趋势图,P0,专业负责人,岗位中心-招聘需求趋势,月份/招聘数量或指数,展示近12个月招聘需求趋势,assets/07-job-demand.png
招聘需求趋势,技能需求热度,P0,教研人员,岗位中心-招聘需求趋势,技能名称/热度指数/能力项映射,展示高频能力热度且可与岗位能力项对应,assets/07-job-demand.png
招聘需求趋势,热门岗位招聘明细,P0,专业负责人,岗位中心-招聘需求趋势,岗位名称/招聘需求/薪资/增长/城市,明细表按需求或增长排序且岗位名称可对应岗位画像,assets/07-job-demand.png
招聘需求趋势,无数据空状态,P1,专业负责人,岗位中心-招聘需求趋势,产业链ID/统计周期,无招聘数据时展示空状态，不展示误导性默认结论,需求补充
跨模块,默认产业链贯通,P0,平台管理员/专业负责人,CMS与前台,专业ID/产业链ID,CMS选择的默认产业链能驱动前台岗位画像和招聘趋势,需求评审后一期主线
跨模块,数据口径说明,P1,平台运营,需求文档/页面辅助信息,统计周期/样本来源/初始化批次,能说明招聘趋势和岗位画像的数据来源与批次,需求评审风险项
