页面/场景,模块,区域/组件,Demo表现,生产化改造,优先级,截图/代码依据
CMS数据初始化,CMS后台壳,左侧导航与顶部面包屑,静态展示CMS菜单和平台管理路径,接入真实后台路由与权限，本期可固定入口,P1,src/App.vue
CMS数据初始化,初始化状态,待初始化空状态,展示待初始化说明和数据初始化按钮,接初始化状态查询接口,P0,assets/22-cms-init-empty.png
CMS数据初始化,初始化动作,数据初始化按钮,点击后进入初始化中状态,调用初始化接口并轮询任务状态,P0,src/App.vue
CMS数据初始化,初始化状态,初始化中进度,展示进度条和说明文案,补失败状态和重试入口,P0,src/App.vue
CMS数据初始化,产业链推荐,推荐列表,展示匹配度/阶段摘要/理由/标签,从初始化结果接口读取,P0,assets/23-cms-chain-recommendations.png
CMS数据初始化,产业链选择,默认产业链选择,选中行高亮,保存专业默认产业链并供前台读取,P0,assets/24-cms-chain-selected.png
岗位画像分析,页面头部,标题与当前产业链,展示岗位画像分析和当前产业链,当前产业链来自CMS默认产业链,P0,assets/05-job-portrait.png
岗位画像分析,洞察区,AI岗位画像洞察,展示3-4条洞察,规则或AI生成后保存,P1,src/mock/job-research.ts
岗位画像分析,KPI区,岗位/任务/能力项/证书,展示4个汇总指标,后端汇总或详情汇总,P0,assets/05-job-portrait.png
岗位画像分析,查询区,搜索框,支持岗位/技能/产业环节搜索,列表接口增加keyword参数,P0,src/App.vue
岗位画像分析,查询区,岗位等级筛选,支持全部/初级/中级/高级,列表接口增加level参数,P0,src/App.vue
岗位画像分析,列表区,岗位卡片,展示名称/薪资/需求量/等级/标签,接口返回岗位画像列表,P0,assets/05-job-portrait.png
岗位画像分析,详情弹窗,岗位基本信息,展示薪资/学历/经验/等级/需求量/发展路径,接口返回岗位详情,P0,assets/06-job-portrait-detail.png
岗位画像分析,详情弹窗,能力与任务,展示知识/技能/素养和典型任务,接标准能力项与任务库,P0,assets/06-job-portrait-detail.png
岗位画像分析,详情弹窗,证书/专业/企业样本,展示证书、关联专业和企业样本,证书详情和企业详情放P2,P1,assets/06-job-portrait-detail.png
招聘需求趋势,页面头部,标题与趋势洞察,展示招聘趋势判断,按招聘统计结果生成或维护,P1,assets/07-job-demand.png
招聘需求趋势,KPI区,近12月需求/高频岗位/平均薪资/企业样本,展示4个指标和趋势值,招聘趋势summary接口,P0,assets/07-job-demand.png
招聘需求趋势,图表区,岗位需求月度趋势,展示12个月柱状图,招聘趋势monthly接口,P0,assets/07-job-demand.png
招聘需求趋势,图表区,技能需求热度,展示技能热度百分比,技能热度接口并映射标准能力项,P0,assets/07-job-demand.png
招聘需求趋势,明细表,热门岗位招聘明细,展示岗位/需求/薪资/增长/城市,招聘岗位明细接口，P1支持跳转画像,P0,assets/07-job-demand.png
跨模块,数据上下文,默认产业链贯通,Demo为静态上下文,统一specialtyId和chainId贯通CMS与前台,P0,需求主线
跨模块,异常状态,空/失败/加载状态,Demo主要展示正常流,补空数据、失败、加载和重试,P1,生产化补充
